吐	Erbrechen		aB	p
嘔	Erbrechen		Ab	p
豌	Erbse			
狽	erbärmlich			
震	Erdbeben			
土	Erde			
丘	Erdhügel		Hügelland	w
阜	Erdhügel		reichlich	a
壤	Erdreich			
摟	erfassen			
究	erforschen		eigentlich	w
糾	erforschen		Korrektur	w
欣	erfreut			
握	ergreifen			
隆	erhaben			
受	erhalten			
徵	erheben			
憶	erinnern			
扒	erklettern			
闡	erklären			
患	erkranken			
探	erkunden			
得	erlangen			
讓	erlauben		Kompromiss	w
允	erlauben		gestatten	w
准	erlauben		genehmigen	w
遭	erleiden			
釋	erläutern			
斥	ermahnen			
勵	ermutigen			
倦	ermüded			
厲	ernst		streng	w
懇	ernst		fleißig	w
鄭	ernst		ernst	w
達	erreichen			
顫	erschauern			
見	erscheinen			
辟	erschließen			
滲	erschrecken			
疲	erschöpft		Ab	p
憊	erschöpft		aB	p
撼	erschüttern			
替	ersetzen			
儲	Ersparnis			
愕	erstaunt			
曦	Erste Sonnenstrahlen			
甲	erster Himmelsstamm			
綿	erstrecken			
忍	ertragen		durchhalten	w
堪	ertragen		peinlich	w
淹	ertrinken		überfluten	w
溺	ertrinken		verhätscheln	w
盼	erwarten			
擴	erweitern			
暖	erwärmen			
育	erziehen			
姆	Erzieherin			
啟	eröffnen			
論	erörtern			
它	es		Ding	d
牠	es		Tier	d
驢	Esel			
押	eskortieren			
吃	essen			
烹	Essen zubereiten		Ab	p
飪	Essen zubereiten		aB	p
醋	Essig			
筷	Essstäbchen		normal	d
箸	Essstäbchen		Dialekt	d
創	etwas  zustande bringen			
扛	etwas schultern			
抒	etwas äußern			
歐	Europa			
永	Ewigkeit			
準	exakt			
糞	Exkremente			
者	Experte			
爆	explodieren			
甚	extrem			
精	exzellent		Seele	w
嘉	exzellent		Gast	w
廠	Fabrik			
薄	fade			
線	Faden			
幟	Fahne		aB	p
旗	Fahne		Ab	p
駛	fahren			
苟	fahrlässig			
車	Fahrzeug		mit Rädern	d
輛	Fahrzeug		ZEW	d
系	Fakultät		System	w
係	Fakultät		Kontakt	w
隼	Falke			
案	Fall			
陷	Falle			
落	fallen		landen (Flugzeug)	w
墮	fallen		Abtreibung	w
錯	falsch			
挼	Falte			
蝶	Falter			
家	Familie			
眷	Familienangehöriger			
屬	Familienmitglied			
姓	Familienname			
獲	fangen		erlangen	a
捕	fangen		Ab	p
捉	fangen		aB	p
色	Farbe			
纖	Faser			
缸	Fass			
嘯	fauchen		schreien	w
噓	fauchen		pst!	a
懶	faul		spät aufstehen	w
緩	faul		Besänftigung	w
拳	Faust			
羽	Feder			
缺	fehlen			
誤	Fehler		missverstehen	w
訛	Fehler		erpressen	a
穆	feierlich			
慶	feiern			
節	Feiertag			
屑	Feilspäne			
敵	Feind		unbesiegbar	w
仇	Feind		Vergeltung	w
田	Feld		Toyota	n
嶄	Feld		neu	w
營	Feldquartier			
毛	Fell			
窗	Fenster			
假	Ferien			
遙	fern			
更	ferner			
跟	Ferse			
技	Fertigkeit			
拿	festhalten		Kanada	w
攜	festhalten		mitbringen	a
揪	festklammern			
陸	Festland			
拴	festmachen		anbinden	a
綁	festmachen		fesseln	w
宴	Festmahl			
逮	festnehmen			
脂	Fett		Ab	p
肥	fett		Diät	w
肪	Fett		aB	p
潤	feucht		Gewinn	w
澤	feucht		Moor	w
濕	Feuchtigkeit			
火	Feuer			
赤	feuerrot			
杉	Fichte			
伶	findig		Ab	p
俐	findig		aB	p
指	Finger			
螺	Fingerabdruck			
冥	finster			
魚	Fisch			
淺	flach		Gewässer	d
扁	flach		gepresst	d
坦	flach		eben	a
焰	Flamme			
逛	flanieren			
瓶	Flasche			
葫	Flaschenkürbis			
飄	flattern			
斑	Fleck			
蝙	Fledermaus		Ab	p
蝠	Fledermaus		aB	p
癮	flehend			
肉	Fleisch			
葷	Fleisch oder Fisch			
餚	Fleischspeisen			
勤	fleißig			
補	flicken			
蠅	Fliege			
飛	fliegen			
竄	fliehen			
熒	flimmernd			
嗲	flirtend			
鱗	Flocke			
酥	flockig			
旺	florierend			
鶴	Fluggerät			
河	Fluss			
洪	Flut			
笛	Flöte			
翅	Flügel		Vogel-	d
翼	Flügel		Flugzeug-	d
液	Flüssigkeit			
嘀	flüstern			
隨	folgen			
膜	Folie			
拋	formen			
坯	Formling			
搜	forschen			
森	Forst			
堡	Fort			
續	fortdauern			
去	fortgehen			
繼	fortsetzen		Fortsetzung	w
紹	fortsetzen		vorstellen	w
相	Foto			
照	fotografieren			
問	fragen			
麼	Fragepartikel			
女	Frau			
嫦	Frau im Mond			
閒	frei haben			
空	freie Zeit			
慨	freigiebig			
放	freilassen			
露	freilegen			
閑	Freizeit		Ab	p
暇	Freizeit		aB	p
外	fremd		Ausland	w
陌	fremd		befremdlich	w
朋	Freund			
友	Freundin			
藹	freundlich			
誼	Freundschaft			
安	Frieden		Sicherheit	w
寧	Frieden		vorzugsweise	w
泰	friedlich			
凍	frieren			
鮮	frisch			
炸	frittieren			
蛙	Frosch			
果	Frucht			
歡	fröhlich		Wilkommen!	w
愉	fröhlich		amüsant	w
早	früh			
夙	Frühe			
故	früherer			
春	Frühling			
狐	Fuchs			
礎	Fundament			
爍	funkeln			
憚	Furcht			
瘩	Furunkel			
屁	Furz			
足	Fuß		Fußball	w
腳	Fuß		Tier	f
尺	Fuß		1/3 Meter	d
呎	Fuß		englischer	d
能	fähig sein			
功	Fähigkeit			
伐	fällen		Baum	d
染	färben			
贊	fördern		Zustimmung	w
抵	fördern		boykottieren	a
贍	fördern		Lebensunterhalt	w
覺	fühlen			
導	führen			
滿	füllen			
餡	Füllung			
五	fünf			
怕	fürchten			
侯	Fürst			
喂	füttern			
